時間,設備,值
2024-10-19 09:49:S,SA-56/LED_LEVEL,3
2024-10-19 09:50:S,SA-56/LED_LEVEL,2
2024-10-19 09:50:S,SA-56/LED_LEVEL,1
2024-10-19 10:13:14,SA-56/LED_LEVEL,2
2024-10-19 10:13:19,SA-56/LED_LEVEL,1
2024-10-19 10:13:19,SA-56/LED_LEVEL,0
2024-10-19 10:15:33,SA-56/LED_LEVEL,1
2024-10-19 10:15:33,SA-56/LED_LEVEL,2
2024-10-19 10:15:35,SA-56/LED_LEVEL,3
2024-10-19 10:15:36,SA-56/LED_LEVEL,4
2024-10-19 10:15:37,SA-56/LED_LEVEL,5
2024-10-19 10:15:38,SA-56/LED_LEVEL,6
2024-10-19 10:15:40,SA-56/LED_LEVEL,7
2024-10-19 10:15:40,SA-56/LED_LEVEL,8
2024-10-19 10:15:41,SA-56/LED_LEVEL,9
2024-10-19 10:15:47,SA-56/LED_LEVEL,8
2024-10-19 10:15:48,SA-56/LED_LEVEL,7
2024-10-19 10:15:49,SA-56/LED_LEVEL,6
2024-10-19 10:15:50,SA-56/LED_LEVEL,5
2024-10-19 10:15:54,SA-56/LED_LEVEL,4
2024-10-19 11:47:21,SA-56/LED_LEVEL,4
2024-10-19 11:47:26,SA-56/LED_LEVEL,3
2024-10-19 11:47:39,SA-56/LED_LEVEL,4
2024-10-19 11:47:52,SA-56/LED_LEVEL,3
2024-10-19 14:12:50,SA-56/LED_LEVEL,3
2024-10-19 14:12:50,SA-56/TEMPERATURE,30.79
2024-10-19 14:12:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:12:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:12:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:12:58,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:02,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:04,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:09,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:14,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:18,SA-56/LED_LEVEL,2
2024-10-19 14:13:18,SA-56/LED_LEVEL,1
2024-10-19 14:13:18,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:20,SA-56/TEMPERATURE,31.26
2024-10-19 14:13:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:26,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:38,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:44,SA-56/TEMPERATURE,31.26
2024-10-19 14:13:46,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:48,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:50,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:58,SA-56/TEMPERATURE,31.26
2024-10-19 14:14:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:02,SA-56/TEMPERATURE,31.26
2024-10-19 14:14:04,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:08,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:12,SA-56/TEMPERATURE,31.26
2024-10-19 14:14:14,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:18,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:20,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:26,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:38,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:46,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:48,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:50,SA-56/TEMPERATURE,30.32
